"投票日","自治体","地点","地点緯度","地点経度","投票数","鼻水","せき","のど","発熱","0から6才：投票数","0から6才：鼻水","0から6才：せき","0から6才：のど","0から6才：発熱","7から12才：投票数","7から12才：鼻水","7から12才：せき","7から12才：のど","7から12才：発熱","13から18才：投票数","13から18才：鼻水","13から18才：せき","13から18才：のど","13から18才：発熱","19から64才：投票数","19から64才：鼻水","19から64才：せき","19から64才：のど","19から64才：発熱","65才以上：投票数","65才以上：鼻水","65才以上：せき","65才以上：のど","65才以上：発熱"
"20161224","千葉県千葉市","末広中学校周辺","35.5967860","140.1266150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","葛城中学校周辺","35.6008710","140.1310330","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","椿森中学校周辺","35.6224090","140.1207660","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","緑町中学校周辺","35.6226760","140.0968260","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","小中台中学校周辺","35.6458960","140.0994220","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","花園中学校周辺","35.6552990","140.0740470","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","新宿中学校周辺","35.6044040","140.1092070","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","蘇我中学校周辺","35.5772680","140.1380180","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","犢橋中学校周辺","35.6776810","140.1169910","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","幕張中学校周辺","35.6629160","140.0590580","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","生浜中学校周辺","35.5572090","140.1441120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","誉田中学校周辺","35.5523810","140.2029820","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","轟町中学校周辺","35.6317040","140.1077220","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","松ケ丘中学校周辺","35.5877210","140.1524690","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","白井中学校周辺","35.5875260","140.2256370","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","更科中学校周辺","35.6176570","140.2264160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","川戸中学校周辺","35.5840030","140.1678730","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","稲毛中学校周辺","35.6439270","140.0821000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
